type,pair
CRYPTO,BTCUSD
CRYPTO,ETHUSD
FOREX,AUDCAD
FOREX,AUDCHF
FOREX,AUDJPY
FOREX,AUDNZD
FOREX,AUDUSD
FOREX,CADCHF
FOREX,CADJPY
FOREX,CHFJPY
FOREX,EURAUD
FOREX,EURCAD
FOREX,EURCHF
FOREX,EURGBP
FOREX,EURJPY
FOREX,EURNZD
FOREX,EURUSD
FOREX,GBPAUD
FOREX,GBPCAD
FOREX,GBPCHF
FOREX,GBPJPY
FOREX,GBPNZD
FOREX,GBPUSD
FOREX,NZDCAD
FOREX,NZDCHF
FOREX,NZDJPY
FOREX,NZDUSD
FOREX,USDCAD
FOREX,USDCHF
FOREX,USDJPY
INDEX,DAX40
INDEX,JPN225
INDEX,NAS100
INDEX,SP500
INDEX,UK100
INDEX,US30
METAL,XAGUSD
METAL,XAUUSD
