type,pair
FOREX,AUDCAD.c
FOREX,AUDCHF.c
FOREX,AUDJPY.c
FOREX,AUDNZD.c
FOREX,AUDUSD.c
FOREX,CADCHF.c
FOREX,CADJPY.c
FOREX,CHFJPY.c
FOREX,EURAUD.c
FOREX,EURCAD.c
FOREX,EURUSD.c
FOREX,EURCHF.c
FOREX,EURGBP.c
FOREX,EURJPY.c
FOREX,EURNZD.c
FOREX,GBPAUD.c
FOREX,GBPCAD.c
FOREX,GBPCHF.c
FOREX,GBPJPY.c
FOREX,GBPNZD.c
FOREX,GBPUSD.c
FOREX,NZDCAD.c
FOREX,NZDCHF.c
FOREX,NZDJPY.c
FOREX,NZDUSD.c
FOREX,USDCAD.c
FOREX,USDCHF.c
FOREX,USDJPY.c
FOREX,XAGUSD.c
FOREX,XAUUSD.c
FOREX,ASX.c
FOREX,DAX.c
FOREX,DOW.c
FOREX,NIKKEI.c
FOREX,NSDQ.c
FOREX,SP.c
FOREX,ADAUSD.c
FOREX,BCHUSD.c
FOREX,BNBUSD.c
FOREX,BTCUSD.c
FOREX,ETHUSD.c
FOREX,LTCUSD.c
FOREX,SOLUSD.c
FOREX,XRPUSD.c
