type,pair
FOREX,MSFT
FOREX,NVDA
FOREX,BTCUSD
FOREX,XAUUSD
FOREX,XAUAUD
FOREX,XAUEUR
FOREX,XAGAUD
FOREX,XAGEUR
FOREX,XAGUSD
FOREX,XPDUSD
FOREX,XPTUSD
FOREX,XCUUSD
FOREX,GER40.cash
FOREX,UK100.cash
FOREX,US100.cash
FOREX,US30.cash
FOREX,US500.cash
FOREX,AUS200.cash
FOREX,EU50.cash
FOREX,FRA40.cash
FOREX,HK50.cash
FOREX,JP225.cash
FOREX,N25.cash
FOREX,SPN35.cash
FOREX,US2000.cash
FOREX,UKOIL.cash
FOREX,USOIL.cash
FOREX,AAPL
FOREX,AMZN
FOREX,BABA
FOREX,BAC
FOREX,GOOG
FOREX,NFLX
FOREX,PFE
FOREX,RACE
FOREX,T
FOREX,TSLA
FOREX,V
FOREX,WMT
FOREX,ZM
FOREX,META
FOREX,AIRF
FOREX,ALVG
FOREX,BAYGn
FOREX,DBKGn
FOREX,IBE
FOREX,LVMH
FOREX,VOWG_p
FOREX,COCOA.c
FOREX,COFFEE.c
FOREX,CORN.c
FOREX,SOYBEAN.c
FOREX,WHEAT.c
FOREX,COTTON.c
FOREX,SUGAR.c
FOREX,NATGAS.cash
FOREX,HEATOIL.c
FOREX,DXY.cash
